#   zf [m]    tau [s]    u [m/s]     v [m/s]     th [K]   qv [kg/kg]
50 10800 172800 
2 
 7639.8325   21600.0   14.494743   -6.407817   321.561096  0.000277224
 8176.5557   21600.0   16.418478   -7.149278   322.882080  0.000240324
 8735.3027   21600.0   16.638956   -9.702680   324.586639  0.000204887
 9316.1660   21600.0   17.761322  -11.014613   326.418335  0.000138863
 9918.7969   21600.0   19.269625  -12.843555   327.701477  0.000085366
10544.1270   21600.0   20.384003  -15.946002   329.149811  0.000048864
11198.0703   21600.0   21.017410  -18.811760   332.457062  0.000028332
11886.3418   21600.0   18.118286  -15.556406   340.582153  0.000009138
12609.4658   21600.0   18.452787  -11.841901   357.174469  0.000003631
13354.6982   21600.0   17.941059   -9.139453   371.738251  0.000003958
14119.7266   21600.0   13.821274   -6.693230   381.690521  0.000003992
14909.0596   21600.0    9.725863   -2.294764   391.119019  0.000004023
15726.4922   21600.0    7.516084   -1.148267   403.402130  0.000003981
16572.3203   21600.0    6.082169   -3.550802   418.576477  0.000003995
17445.4902   21600.0    4.493834   -2.582814   435.398468  0.000003990
18345.7949   21600.0    2.246685   -1.553405   453.423767  0.000003995
19273.3789   21600.0   -1.066721   -1.808184   472.545776  0.000003995
20228.4297   21600.0   -3.718511   -2.953302   492.696411  0.000003845
21211.7500   21600.0   -4.789886   -4.601098   514.479492  0.000003803

# 32400.00  
    9.8192   21600.0    2.480878    2.542763   286.850037  0.006525761
   35.0439   21600.0    3.025970    3.065941   286.537201  0.006465817
   71.6582   21600.0    3.327681    3.327922   286.391663  0.006432641
  120.0064   21600.0    3.569191    3.510345   286.302155  0.006406865
  180.4367   21600.0    3.832441    3.687603   286.245392  0.006376684
  253.2899   21600.0    4.240441    3.941249   286.239380  0.006320878
  338.9147   21600.0    5.023019    4.211797   286.298553  0.006215540
  437.6810   21600.0    6.586976    4.314218   286.534973  0.005968533
  549.9433   21600.0    7.528234    3.818138   286.983582  0.005611858
  676.0505   21600.0    7.341034    3.010237   287.604187  0.005217265
  816.4207   21600.0    6.556082    2.208571   288.645264  0.004785405
  971.4680   21600.0    5.758349    1.248117   290.322113  0.004140940
 1141.4297   21600.0    5.825338    0.487131   292.175385  0.003696463
 1326.5563   21600.0    6.548030   -0.141927   293.985840  0.003364695
 1527.0022   21600.0    7.078899   -0.473367   295.173279  0.003505310
 1743.0598   21600.0    7.012266   -0.369190   295.697906  0.003593315
 1975.2831   21600.0    7.201848   -0.475297   296.176331  0.003523686
 2224.0049   21600.0    7.132761   -0.275256   296.714478  0.002974628
 2489.8467   21600.0    6.776030    0.637382   297.917969  0.002070758
 2773.6458   21600.0    6.501992    1.634959   300.541351  0.001469263
 3075.4863   21600.0    6.194275    1.715118   303.897400  0.000988934
 3394.5947   21600.0    6.822817    1.029688   306.035492  0.000472799
 3731.7078   21600.0    7.700590   -0.025661   307.742340  0.000634983
 4086.9807   21600.0    7.530007   -0.787527   308.792480  0.000950998
 4461.1147   21600.0    7.771216   -1.343423   309.841827  0.001268725
 4854.3496   21600.0    8.514838   -2.146830   310.726562  0.001530148
 5267.5005   21600.0    9.164287   -2.223781   312.271881  0.001365459
 5700.3960   21600.0   10.070245   -1.919981   313.661285  0.001234916
 6153.5264   21600.0   10.591055   -1.804024   315.167114  0.000931005
 6627.7109   21600.0   10.797155   -2.168675   317.443481  0.000562922
 7122.6924   21600.0   11.538592   -3.906158   319.671326  0.000418722
 7638.5791   21600.0   12.688487   -5.267807   321.611847  0.000402448
 8175.8579   21600.0   15.500215   -7.788190   323.536469  0.000333267
 8734.2520   21600.0   15.982071  -10.024762   324.830444  0.000146881
 9314.7754   21600.0   15.966094   -9.988554   326.291138  0.000041707
 9917.5352   21600.0   16.301048  -11.122868   327.709869  0.000030205
10542.9268   21600.0   17.381556  -14.123452   329.213562  0.000033800
11196.7207   21600.0   18.216455  -15.349586   332.369720  0.000024421
11885.8467   21600.0   16.600334  -14.338531   341.302979  0.000008277
12607.5527   21600.0   17.174465  -10.461186   356.534576  0.000003791
13353.4365   21600.0   16.730927   -7.013658   371.718231  0.000003933
14119.2480   21600.0   14.073204   -4.600284   382.413147  0.000004004
14907.4619   21600.0   11.640032   -0.153791   390.749786  0.000004058
15724.2168   21600.0    8.195236    0.082603   402.375061  0.000003944
16570.6562   21600.0    4.134207   -3.504211   418.122559  0.000003989
17444.8438   21600.0    2.235416   -4.337887   435.925995  0.000003990
18345.7910   21600.0    0.625130   -3.739550   454.578613  0.000003996
19273.3887   21600.0   -1.920248   -2.922260   473.697021  0.000004013
20228.8320   21600.0   -4.873681   -4.099546   494.212982  0.000003906
21212.7793   21600.0   -7.437818   -6.341914   516.601135  0.000003868

# 43200.00  
    9.8191   21600.0    3.578823    2.133490   291.164459  0.006196120
   35.0361   21600.0    4.287510    2.547144   290.741211  0.006095323
   71.6438   21600.0    4.654370    2.754846   290.531372  0.006044354
  119.9848   21600.0    4.911681    2.894850   290.393616  0.006008619
  180.4071   21600.0    5.122685    3.003407   290.286713  0.005977944
  253.2439   21600.0    5.314856    3.094289   290.195496  0.005947846
