#   zf [m]    tau [s]    u [m/s]     v [m/s]     th [K]   qv [kg/kg]
50 10800 172800 
2 
 4459.3584   21600.0   13.370064    9.053940   310.341583  0.000694948
 4852.9443   21600.0   14.921844    9.048326   311.687744  0.000699540
 5266.4697   21600.0   16.099581    9.978386   313.617981  0.000645548
 5699.7446   21600.0   16.624622   10.661177   315.444305  0.000438237
 6152.6138   21600.0   17.420580   11.216598   316.536621  0.000287931
 6625.8462   21600.0   18.932148   10.485839   317.515045  0.000270267
 7120.3618   21600.0   21.757738    9.009271   319.153107  0.000237408
 7636.4204   21600.0   24.627823    8.905553   321.354309  0.000134178
 8174.0796   21600.0   25.840042    8.923515   323.765442  0.000070455
 8732.9863   21600.0   25.535421    7.978300   325.652618  0.000035865
 9312.7158   21600.0   25.366127    9.241718   326.276428  0.000023437
 9915.4424   21600.0   24.229658   12.208566   327.699860  0.000021338
10541.1387   21600.0   23.968088   13.996440   329.549469  0.000026460
11195.9131   21600.0   23.955961   14.796233   333.685059  0.000023643
11888.3945   21600.0   22.607645   11.929946   345.891541  0.000007956
12607.3418   21600.0   20.902468   10.497110   358.546356  0.000003726
13350.2725   21600.0   19.267859    9.570387   370.905090  0.000004013
14116.2080   21600.0   17.696976    7.686424   381.733551  0.000003996
14909.5195   21600.0   14.838326    7.269331   394.986725  0.000003988
15728.7197   21600.0   10.598022    7.019243   408.989075  0.000004008
16573.9707   21600.0    6.290499    6.449831   423.646881  0.000003991
17447.5273   21600.0    5.214197    3.620737   440.897522  0.000003955
18349.4043   21600.0    3.602544    1.355615   460.519287  0.000004019
19279.4707   21600.0   -0.975050    1.525328   482.163300  0.000004060
20236.4785   21600.0   -4.490986    0.756170   504.338562  0.000003817
21221.0371   21600.0   -5.488684   -0.822298   527.415588  0.000003855

